,SampleID,Population,Age_category,Asymptotic_Shannon_diversity,Asymptotic_ASV_richness,Read_count,DNA_extraction_Batch_Position,Sampling_date
Sample1579,Sample1579,Isle_of_May,Chick,20.77885304,60,39882,71_3,12/07/2021
Sample1583,Sample1583,Isle_of_May,Adult,1.359287305,11,75977,74_4,13/07/2021
Sample1586,Sample1586,Sule_Skerry,Chick,4.447245103,70,63265,70_18,09/07/2021
Sample1588,Sample1588,Pentland_Skerries,Chick,4.006389382,56,25890,72_8,07/07/2021
Sample1590,Sample1590,Shiants,Chick,5.851181766,58.12499839,77829,72_24,10/07/2021
Sample1591,Sample1591,Isle_of_May,Adult,2.25786702,45,50337,71_18,13/07/2021
Sample1595,Sample1595,Isle_of_May,Adult,1.53677441,105,74546,69_20,13/07/2021
Sample1598,Sample1598,Skomer,Adult,10.13190026,61,5748,73_21,13/07/2021
Sample1602,Sample1602,Sule_Skerry,Chick,7.165942851,148.0555547,64730,73_14,09/07/2021
Sample1603,Sample1603,Skomer,Chick,6.486646756,49,27278,70_24,12/07/2021
Sample1604,Sample1604,Skomer,Adult,88.85387561,197.4999521,10444,71_4,10/07/2021
Sample1607,Sample1607,Skomer,Chick,50.13743958,193,14585,70_19,08/07/2021
Sample1613,Sample1613,Shiants,Chick,2.093924787,30,99209,73_17,10/07/2021
Sample1614,Sample1614,Shiants,Chick,9.360940067,51,30546,70_20,10/07/2021
Sample1615,Sample1615,Sule_Skerry,Adult,84.64663302,152.1666361,5447,72_9,09/07/2021
Sample1618,Sample1618,Skomer,Chick,7.445827725,88.49999565,115022,70_14,10/07/2021
Sample1624,Sample1624,Isle_of_May,Chick,13.19715781,140.099993,14270,71_10,19/07/2021
Sample1631,Sample1631,Isle_of_May,Adult,133.5239036,223,5491,74_17,13/07/2021
Sample1635,Sample1635,Skomer,Chick,5.892032517,101.124999,129013,70_16,09/07/2021
Sample1639,Sample1639,Sule_Skerry,Chick,1.784548642,44,107542,74_18,09/07/2021
Sample1640,Sample1640,Isle_of_May,Adult,1.568962344,27,23486,74_16,12/07/2021
Sample1643,Sample1643,Isle_of_May,Chick,4.991269497,174.1249838,69469,74_19,19/07/2021
Sample1648,Sample1648,Sule_Skerry,Chick,13.13683371,221.4999783,23076,76_7,08/07/2021
Sample1652,Sample1652,Skomer,Chick,28.71653973,211,14038,70_10,12/07/2021
Sample1656,Sample1656,Skomer,Chick,6.095257814,30,27940,74_24,09/07/2021
Sample1658,Sample1658,Sule_Skerry,Chick,9.232133976,172.1249983,73415,69_23,09/07/2021
Sample1659,Sample1659,Skomer,Adult,2.656848183,38,25113,69_11,08/07/2021
Sample1664,Sample1664,Pentland_Skerries,Chick,3.326891974,83,70558,73_6,07/07/2021
Sample1667,Sample1667,Skomer,Chick,5.760069128,131.1666647,82740,69_24,15/07/2021
Sample1672,Sample1672,Shiants,Chick,1.730538749,17,64642,73_15,10/07/2021
Sample1675,Sample1675,Shiants,Chick,5.547537043,46,121209,76_11,10/07/2021
Sample1676,Sample1676,Skomer,Chick,7.121032117,59,111619,76_12,08/07/2021
Sample1677,Sample1677,Fair_Isle,Chick,1.563247872,91.12499834,75370,71_8,14/07/2021
Sample1678,Sample1678,Fair_Isle,Chick,1.51841589,47.16666506,104044,71_22,14/07/2021
Sample1679,Sample1679,Pentland_Skerries,Chick,5.383561198,154.499984,31277,72_3,07/07/2021
Sample1680,Sample1680,Pentland_Skerries,Chick,13.80261517,115,24851,76_10,07/07/2021
Sample1691,Sample1691,Sule_Skerry,Adult,3.393328487,101,27778,69_9,08/07/2021
Sample1697,Sample1697,Isle_of_May,Adult,3.089788423,159,51625,71_23,15/07/2021
Sample1699,Sample1699,Skomer,Adult,5.589769929,80.24999874,198796,72_10,10/07/2021
Sample1701,Sample1701,Pentland_Skerries,Chick,4.983602978,47,142664,74_23,07/07/2021
Sample1708,Sample1708,Shiants,Chick,3.638600447,19,7094,73_18,10/07/2021
Sample1709,Sample1709,Sule_Skerry,Chick,8.335588827,173.2857117,110602,73_13,09/07/2021
Sample1710,Sample1710,Pentland_Skerries,Chick,7.223267167,275.7499939,122759,73_19,07/07/2021
Sample1711,Sample1711,Sule_Skerry,Chick,8.637203271,188.5624737,59484,72_6,09/07/2021
Sample1712,Sample1712,Fair_Isle,Chick,12.79575644,265.055555,107558,74_15,01/07/2021
Sample1715,Sample1715,Skomer,Chick,5.446102396,48.24998845,21653,72_23,08/07/2021
Sample1721,Sample1721,Skomer,Chick,7.686974577,281.2499894,117505,73_12,15/07/2021
Sample1725,Sample1725,Isle_of_May,Chick,10.33340619,160.0833314,42840,75_23,10/07/2021
Sample1727,Sample1727,Skomer,Chick,8.788642639,173.2499978,113618,76_8,10/07/2021
Sample1729,Sample1729,Skomer,Adult,92.13523166,259.6665913,8844,75_22,10/07/2021
Sample1733,Sample1733,Skomer,Chick,8.749375153,66.12499172,135838,71_14,10/07/2021
Sample1736,Sample1736,Skomer,Chick,8.603768101,168.3999942,68609,69_3,13/07/2021
Sample1737,Sample1737,Fair_Isle,Chick,2.4637531,107.3333305,118312,74_14,01/07/2021
Sample1739,Sample1739,Isle_of_May,Chick,9.289459954,71,138041,69_14,19/07/2021